Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
138,"Ralston, Nick DAL TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
139,"Reyes, Sammis WAS TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
140,"Ricci, Giovanni CAR TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
141,"Schreck, Mason CIN TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
142,"Sullivan, Stephen CAR TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
143,"Thompson, Colin CAR TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
144,"Togiai, Noah PHI TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
145,"Travis, Ross FA TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
146,"Warring, Kahale JAC TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
147,"Winchester, James KCC TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,12
