Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
120,"Armstead, Ryquell JAC RB",13.56,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,8.7,FA,7,0
121,"Ward, Jonathan ARI RB",11.14,0.857,0,0,0,0,0,1.8,0.8,0,0,0,0,0,0,0,2.64,0.4,4.68,0.82,FA,12,0
122,"Nwangwu, Kene MIN RB",10.84,0.985,0,0,0,0,0,0,0,0,1,0,0,0.8,1.84,0,3.6,3.1,0,0.5,FA,7,0
123,"Jackson, Deon IND RB",10.4,1.156,0,0,0,0,0,0,0,0,0,0,1.8,0,8.5,0,0,0,0.1,0,FA,14,0
124,"Smith, Rodney FA RB",10.18,5.09,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
125,"Janovich, Andy CLE RB",10.14,0.78,0,6.2,0,1,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,FA,13,0
126,"Hardy, JaQuan DAL RB",9.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,8.9,FA,7,0
127,"Armah, Alexander WAS RB",9.26,0.772,0,0,0.6,0.3,0,0,0.3,6.66,1.4,0,0,0,0,0,0,0,0,0,FA,9,0
128,"Stanton, Johnny CLE RB",8.92,2.23,0,0,0,0,0,1.46,7.36,0,0,0.1,0,0,0,0,0,0,0,0,FA,13,0
129,"Johnson, Jakob NEP RB",8.88,0.522,0,0,0,0,0,0,6.12,0.82,0,0,0,0,0,0,0,1.94,0,0,FA,14,0
130,"Smallwood, Wendell FA RB",8.52,2.84,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,4.2,0,FA,9,0
131,"Boone, Mike DEN RB",8.42,1.052,0,0,0,0,0,0.98,0,0,0,0,0,0,7.44,0,0,0,0,0,FA,11,0
132,"Williams, Trayveon CIN RB",7.74,1.548,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,5.84,FA,10,0
133,"Ballage, Kalen PIT RB",7.08,0.416,0,0,0,0,0.4,1.7,0,-0.2,0.82,0,0.4,3.86,0,0,0,0,0,0.1,FA,7,1
134,"Smith, Ito DAL RB",6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,FA,7,0
135,"Huntley, Jason PHI RB",6.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,FA,14,0
136,"Nabers, Gabe LAC RB",5.32,0.532,0.3,0,2.76,0,0,1.46,0,0,0,0,0,0,0,0,0.5,0,0.3,0,FA,7,0
137,"Samuels, Jaylen ARI RB",5.14,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,4.74,0,FA,10,0
138,"Washington, Dwayne NOS RB",4.92,0.351,0,0,0,2.06,0,0,0,0,0,1,1.86,0,0,0,0,0,0,0,FA,6,0
139,"Prentice, Adam NOS RB",4.86,0.694,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0.3,1.44,1.02,FA,6,0
140,"Laird, Patrick MIA RB",4.72,0.787,0,0,0,0,0,0,0,2.1,0,0.82,1.8,0,0,0,0,0,0,0,FA,14,2
141,"Hill, Kylin GBP RB",4.7,0.588,1.9,1,0,0,1.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
142,"Phillips, Scottie HOU RB",4.34,1.085,0,0,0,0,0,0,0,4.04,0.3,0,0,0,0,0,0,0,0,0,FA,10,0
143,"Watt, Derek PIT RB",4.1,0.241,0,0,0.98,0,0,0,0,0,0.98,1.94,0,0,0,0,0,0,0.2,0,FA,7,0
144,"Akers, Cam LAR RB",3.9,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,Platypi - IR,11,1
145,"Perine, Lamical NYJ RB",3.9,0.975,0,0,0,0,0,0,0,0.4,0,0,0,0,0,3.5,0,0,0,0,Whiners,6,0
146,"Bawden, Nick NYJ RB",3.7,0.463,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,FA,6,0
147,"Evans, Darrynton TEN RB",3.66,1.83,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
148,"Bonnafon, Reggie WAS RB",3.42,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,FA,13,1
149,"Ragas, Trey LVR RB",2.96,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,FA,8,0
150,"McFarland, Anthony PIT RB",2.86,1.43,0,0,0,0,0,0,0,0.2,0,0,0,2.66,0,0,0,0,0,0,FA,7,0
151,"Mostert, Raheem SFO RB",2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
152,"Brightwell, Gary NYG RB",1.96,0.151,1.46,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
153,"Nall, Ryan CHI RB",1.64,0.182,0,0,0,0,0,0,1.14,0.5,0,0,0,0,0,0,0,0,0,0,FA,10,0
154,"Howell, Buddy LAR RB",1.6,0.16,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,FA,11,0
155,"Sargent, Mekhi JAC RB",1.6,0.2,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.3,FA,7,0
